id,name,continentId,economicRegionId,officialOrder
algeria,Algeria,africa,north_africa,1
angola,Angola,africa,central_africa,2
benin,Benin,africa,west_africa,3
botswana,Botswana,africa,southern_africa,4
burkina_faso,Burkina Faso,africa,west_africa,5
burundi,Burundi,africa,east_africa,6
cabo_verde,Cabo Verde,africa,west_africa,7
cameroon,Cameroon,africa,central_africa,8
central_african_republic,Central African Republic,africa,central_africa,9
chad,Chad,africa,central_africa,10
comoros,Comoros,africa,east_africa,11
congo_brazzaville,Republic of the Congo,africa,central_africa,12
democratic_republic_of_congo,Democratic Republic of the Congo,africa,central_africa,13
djibouti,Djibouti,africa,east_africa,14
egypt,Egypt,africa,north_africa,15
equatorial_guinea,Equatorial Guinea,africa,central_africa,16
eritrea,Eritrea,africa,east_africa,17
eswatini,Eswatini,africa,southern_africa,18
ethiopia,Ethiopia,africa,east_africa,19
gabon,Gabon,africa,central_africa,20
gambia,Gambia,africa,west_africa,21
ghana,Ghana,africa,west_africa,22
guinea,Guinea,africa,west_africa,23
guinea_bissau,Guinea-Bissau,africa,west_africa,24
ivory_coast,Ivory Coast,africa,west_africa,25
kenya,Kenya,africa,east_africa,26
lesotho,Lesotho,africa,southern_africa,27
liberia,Liberia,africa,west_africa,28
libya,Libya,africa,north_africa,29
madagascar,Madagascar,africa,east_africa,30
malawi,Malawi,africa,east_africa,31
mali,Mali,africa,west_africa,32
mauritania,Mauritania,africa,west_africa,33
mauritius,Mauritius,africa,east_africa,34
morocco,Morocco,africa,north_africa,35
mozambique,Mozambique,africa,southern_africa,36
namibia,Namibia,africa,southern_africa,37
niger,Niger,africa,west_africa,38
nigeria,Nigeria,africa,west_africa,39
rwanda,Rwanda,africa,east_africa,40
sao_tome_and_principe,Sao Tome and Principe,africa,central_africa,41
senegal,Senegal,africa,west_africa,42
seychelles,Seychelles,africa,east_africa,43
sierra_leone,Sierra Leone,africa,west_africa,44
somalia,Somalia,africa,east_africa,45
south_africa,South Africa,africa,southern_africa,46
south_sudan,South Sudan,africa,east_africa,47
sudan,Sudan,africa,north_africa,48
tanzania,Tanzania,africa,east_africa,49
togo,Togo,africa,west_africa,50
tunisia,Tunisia,africa,north_africa,51
uganda,Uganda,africa,east_africa,52
zambia,Zambia,africa,southern_africa,53
zimbabwe,Zimbabwe,africa,southern_africa,54
afghanistan,Afghanistan,asia,south_asia,55
armenia,Armenia,asia,west_asia,56
azerbaijan,Azerbaijan,asia,west_asia,57
bahrain,Bahrain,asia,west_asia,58
bangladesh,Bangladesh,asia,south_asia,59
bhutan,Bhutan,asia,south_asia,60
brunei,Brunei,asia,southeast_asia,61
cambodia,Cambodia,asia,southeast_asia,62
china,China,asia,east_asia,63
cyprus,Cyprus,asia,west_asia,64
georgia,Georgia,asia,west_asia,65
india,India,asia,south_asia,66
indonesia,Indonesia,asia,southeast_asia,67
iran,Iran,asia,west_asia,68
iraq,Iraq,asia,west_asia,69
israel,Israel,asia,west_asia,70
japan,Japan,asia,east_asia,71
jordan,Jordan,asia,west_asia,72
kazakhstan,Kazakhstan,asia,central_asia,73
kuwait,Kuwait,asia,west_asia,74
kyrgyzstan,Kyrgyzstan,asia,central_asia,75
laos,Laos,asia,southeast_asia,76
lebanon,Lebanon,asia,west_asia,77
malaysia,Malaysia,asia,southeast_asia,78
maldives,Maldives,asia,south_asia,79
mongolia,Mongolia,asia,east_asia,80
myanmar,Myanmar,asia,southeast_asia,81
nepal,Nepal,asia,south_asia,82
north_korea,North Korea,asia,east_asia,83
oman,Oman,asia,west_asia,84
pakistan,Pakistan,asia,south_asia,85
philippines,Philippines,asia,southeast_asia,86
qatar,Qatar,asia,west_asia,87
saudi_arabia,Saudi Arabia,asia,west_asia,88
singapore,Singapore,asia,southeast_asia,89
south_korea,South Korea,asia,east_asia,90
sri_lanka,Sri Lanka,asia,south_asia,91
syria,Syria,asia,west_asia,92
tajikistan,Tajikistan,asia,central_asia,93
thailand,Thailand,asia,southeast_asia,94
timor_leste,Timor-Leste,asia,southeast_asia,95
turkey,Turkey,asia,west_asia,96
turkmenistan,Turkmenistan,asia,central_asia,97
united_arab_emirates,United Arab Emirates,asia,west_asia,98
uzbekistan,Uzbekistan,asia,central_asia,99
vietnam,Vietnam,asia,southeast_asia,100
yemen,Yemen,asia,west_asia,101
